dataset,model,split,macro_f1,accuracy,mcc
GUIDE,LightGBM,stratified,0.9495461065517675,0.9530143467984433,0.9273435857066985
GUIDE,Mamba,stratified,0.9759989083136666,0.9782765076202008,0.9662350307154395
GUIDE,MoE-Mamba,stratified,0.977250756328161,0.9793577674219103,0.9678828395272926
GUIDE,LightGBM,incident_grouped,0.9067114245178614,0.913284165010287,0.8661399846972913
GUIDE,Mamba,incident_grouped,0.9142534325021058,0.9215442689263172,0.8793404227850197
GUIDE,MoE-Mamba,incident_grouped,0.9145467619920259,0.9227386058513791,0.8815114651509653
