dataset,model,split,macro_f1,accuracy,mcc
BOTSv3,Mamba,stratified,0.8106608106741134,0.9866055813506897,0.6680548012848718
BOTSv3,MoE-Mamba,stratified,0.8092821954622298,0.9864752721062775,0.6655649832026153
