dataset,model,split,macro_f1,accuracy,mcc
AIT-ADS,Mamba,stratified,0.9915354773717726,0.9915370316016046,0.9831707725862308
AIT-ADS,MoE-Mamba,stratified,0.9914376329520296,0.991439193816652,0.9829737016524814
AIT-ADS,Mamba,scenario_fox,0.989320351960473,0.9958100173663754,0.9786967557766062
AIT-ADS,MoE-Mamba,scenario_fox,0.989034503572847,0.9956997546654905,0.9781193342295496
AIT-ADS,Mamba,scenario_wheeler,0.995939203599242,0.9971380426351406,0.9918991105019419
AIT-ADS,MoE-Mamba,scenario_wheeler,0.9959007450178439,0.9971112953700484,0.9918207614940434
