dataset,algo,macro_f1,accuracy,mcc,best_val
GUIDE-noid,FedAdam,0.6704462899730754,0.8099738884189621,0.5780479815641366,0.7086381664908066
GUIDE-noid,FedAvg,0.6768631659974287,0.8072891765657755,0.5504815263028312,0.7216516847514448
GUIDE-noid,FedProx,0.3789742864608539,0.5922180133132287,0.07983385323886615,0.4820812178083875
