dataset,algo,macro_f1,accuracy,mcc,best_val
GUIDE,FedAvg,0.8793830753585189,0.8982642084219211,0.8427042718730829,0.8795149641750296
GUIDE,FedProx,0.7356967458817317,0.7464855773807635,0.6065415744893583,0.7345146633062162
